"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Undecided","Other","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1433,"Likely Voters","Internet",49,41,2,8,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",339,"Likely Voters","Internet",55,39,NA,6,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",823,"Likely Voters","Internet",50,36,14,NA,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",550,"Likely Voters","Internet",51,38,2,8,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",339,"Likely Voters","Internet",57,38,NA,5,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"6","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",572,"Likely Voters","Internet",49,38,4,9,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"7","ICITIZEN","2016-10-14","2016-10-17","2016-10-20T12:53:37Z",508,"Registered Voters","Internet",44,34,8,14,"http://elections.huffingtonpost.com/pollster/polls/icitizen-26285","https://icitizen.com/insights/tennessee-poll-results-october-2016-election/","Nonpartisan","None","If the November 2016 general election for U.S. President were held today and these were the candidates, for whom would you vote?",1
"8","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:34:53Z",328,"Likely Voters","Internet",56,39,NA,5,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26330","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"9","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",799,"Likely Voters","Internet",47,35,18,NA,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"10","MTSU","2016-09-28","2016-10-02","2016-10-06T13:21:27Z",472,"Likely Voters","Live Phone",48,36,10,7,"http://elections.huffingtonpost.com/pollster/polls/mtsu-25977","http://mtsupoll.org/2016/10/04/f2016pres/","Nonpartisan","None","",1
"11","MTSU","2016-09-28","2016-10-02","2016-10-06T13:21:27Z",472,"Likely Voters","Live Phone",50,40,7,3,"http://elections.huffingtonpost.com/pollster/polls/mtsu-25977","http://mtsupoll.org/2016/10/04/f2016pres/","Nonpartisan","None","",2
"12","Vanderbit/PSRA","2016-09-19","2016-10-02","2016-10-06T21:37:34Z",1000,"Registered Voters","Live Phone",44,33,14,9,"http://elections.huffingtonpost.com/pollster/polls/vanderbit-psra-25987","http://www.vanderbilt.edu/csdi/presidential_toplines_2016.pdf","Nonpartisan","None","",1
"13","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:39:55Z",555,"Likely Voters","Internet",57,38,NA,5,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25939","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"14","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:52:41Z",651,"Likely Voters","Internet",47,33,20,NA,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25698","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"15","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:40:09Z",1021,"Registered Voters","Internet",55,37,8,NA,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25391","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"16","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:40:09Z",1021,"Registered Voters","Internet",51,31,5,13,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25391","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"17","ICITIZEN","2016-07-25","2016-07-27","2016-08-03T16:13:30Z",531,"Registered Voters","Internet",49,33,18,NA,"http://elections.huffingtonpost.com/pollster/polls/icitizen-25047","https://icitizen.com/insights/tennessee-poll-results-julyaugust-2016/","Nonpartisan","None","If the November 2016 general election for U.S. President were held today and these were the candidates, for whom would you vote?",1
"18","ICITIZEN","2016-07-25","2016-07-27","2016-08-03T16:13:30Z",531,"Registered Voters","Internet",46,29,16,10,"http://elections.huffingtonpost.com/pollster/polls/icitizen-25047","https://icitizen.com/insights/tennessee-poll-results-julyaugust-2016/","Nonpartisan","None","Asking a different way, if the November 2016 general election for U.S. President were held today and these were the candidates, for whom would you vote?",2
"19","Vanderbit/PSRA","2016-04-25","2016-05-11","2016-05-19T21:38:44Z",1001,"Registered Voters","Live Phone",44,35,18,2,"http://elections.huffingtonpost.com/pollster/polls/vanderbit-psra-24520","http://big.assets.huffingtonpost.com/VanderbiltTNSpring2016_FinalTopline0512.pdf","Nonpartisan","None","",1
